date,ticker,price
2024-01-01,AAPL,151.74930359698917
2024-01-02,AAPL,153.00827212727884
2024-01-03,AAPL,151.6644804693016
2024-01-04,AAPL,152.90187066988565
2024-01-05,AAPL,152.7045093920141
2024-01-06,AAPL,152.82342962993246
2024-01-07,AAPL,151.9481456642216
2024-01-08,AAPL,151.8799404530775
2024-01-09,AAPL,151.5207698939744
2024-01-10,AAPL,152.6960123795981
2024-01-11,AAPL,151.86337576323106
2024-01-12,AAPL,152.38336891645787
2024-01-13,AAPL,151.67797338461168
2024-01-14,AAPL,151.53975750531833
2024-01-15,AAPL,152.01366600985685
2024-01-16,AAPL,151.1514193416185
2024-01-17,AAPL,148.47218084430517
2024-01-18,AAPL,147.6761617841403
2024-01-19,AAPL,147.17747464588817
2024-01-20,AAPL,147.42531712850436
