date,ticker,price
2024-01-01,AAPL,149.74815333907816
2024-01-02,AAPL,149.60854900046434
2024-01-03,AAPL,149.18508051149507
2024-01-04,AAPL,149.50606734041648
2024-01-05,AAPL,151.10295956453845
2024-01-06,AAPL,149.51966639232518
2024-01-07,AAPL,148.53477292257125
2024-01-08,AAPL,149.35418942170384
2024-01-09,AAPL,149.6748189532331
2024-01-10,AAPL,148.74967200959995
2024-01-11,AAPL,147.42055312643365
2024-01-12,AAPL,147.5271329008871
2024-01-13,AAPL,147.23051280078283
2024-01-14,AAPL,147.9214679966052
2024-01-15,AAPL,147.60251776670776
2024-01-16,AAPL,146.74040261307363
2024-01-17,AAPL,146.0988191535642
2024-01-18,AAPL,147.20180721183996
2024-01-19,AAPL,149.3065530051138
2024-01-20,AAPL,150.18359983504973
